id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
912,Curragh Resources,N/A,N/A,N/A,N/A,N/A,Whiskey Lake,Whitehorse,Yukon,61.97472222,-132.5325,1986,1992,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
913,Treminco Resources,Ptarmigan Mines,Cominco,N/A,N/A,N/A,Tom and Ptarmigans,Yellowknife,Northwest Territories,62.52083333,-114.1958333,1986,1997,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
914,Canamax Resources,Lake Shore Gold,N/A,N/A,N/A,N/A,Bell Creek,N/A,Ontario,48.56007,-81.17146,1987,1994,2012,2022,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
915,Bond Gold Canada,N/A,N/A,N/A,N/A,N/A,Golden Patricia,Sioux Lookout,Ontario,51.36594,-91.13417,1987,2015,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
916,Clayburn Industries,N/A,N/A,N/A,N/A,N/A,N/A,Quesnel,British Columbia,52.751388,-122.53472,1987,1993,N/A,N/A,N/A,N/A,Diatomite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
917,Grartges Exploration,N/A,N/A,N/A,N/A,N/A,Tartan Lake,N/A,Manitoba,54.85611111,-101.7305556,1987,1989,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
918,Cameco A Canadian Mining Energy,N/A,N/A,N/A,N/A,N/A,Star Lake,N/A,Saskatchewan,55.984445,-104.2791675,1987,1989,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
919,Total Erickson Resources,N/A,N/A,N/A,N/A,N/A,Mount Skukum,Mount Skukum,Yukon,60.20666667,-135.4691667,1987,1988,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
920,Fording Coal,TransAlberta Utilities,Warburg Coal Fording Coal,N/A,N/A,N/A,Genesee,Warburg,Alberta,53.32950606,-114.3655183,1988,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
921,Skyline Explorations,N/A,N/A,N/A,N/A,N/A,N/A,Johnny Mountain Mine,British Columbia,56.62361,-131.06749,1988,1993,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Lead,Zinc,N/A,N/A,N/A,False
922,NovaGold Resources,N/A,N/A,N/A,N/A,N/A,Murray Brook,Bathurst,New Brunswick,47.5253,-66.43163,1989,1993,N/A,N/A,N/A,N/A,Copper,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
923,Dow Chemical,N/A,N/A,N/A,N/A,N/A,N/A,Fort Saskatchewan,Alberta,53.7004071,-113.2165395,1989,2022,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
924,Amok,Cluff Mining,COGEMA Resources,N/A,N/A,N/A,Cluff Lake,Cluff Lake,Saskatchewan,58.366664,-109.5422238,1989,2002,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
925,Northwest Gold,Royal Oak Mines,N/A,N/A,N/A,N/A,Colomac,Indin Lake,Northwest Territories,64.4,-115.1,1989,1991,1994,1997,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
926,Noranda,Noranda Mining and Exploration,N/A,N/A,N/A,N/A,Gaspé Division,Gaspé,Quebec,48.951944,-65.51863,1990,2002,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
927,Summit Lime Works,Summit Lime Works Umited,Graymont Western Canada,N/A,N/A,N/A,Coleman,Hazel,Alberta,49.67038631,-114.5040416,1990,2022,N/A,N/A,N/A,N/A,Lime,Dolomite,N/A,N/A,N/A,N/A,N/A,N/A,True
928,BC Sugar Refining,N/A,N/A,N/A,N/A,N/A,N/A,Taber,Alberta,49.7904586,-112.1247863,1990,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
929,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,N/A,Callinan,Flin Flon,Manitoba,54.78611111,-101.8875,1990,2001,N/A,N/A,N/A,N/A,Zinc,Copper,Gold,Silver,Cadmium,N/A,N/A,N/A,False
